"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f22', 20, -10, 10, 100, 250, 25000]",4.32,0.0
"['f22', 20, -10, 10, 100, 300, 30000]",5.32,0.0
"['f22', 20, -10, 10, 200, 150, 30000]",5.07,0.0
"['f22', 20, -100, 100, 100, 250, 25000]",4.76,0.0
"['f22', 20, -100, 100, 100, 300, 30000]",5.06,0.0
"['f22', 20, -100, 100, 200, 150, 30000]",5.4,0.0
"['f22', 30, -10, 10, 100, 250, 25000]",4.48,0.0
"['f22', 30, -10, 10, 100, 300, 30000]",5.5,0.0
"['f22', 30, -10, 10, 200, 150, 30000]",5.48,0.0
"['f22', 30, -100, 100, 100, 250, 25000]",5.0,0.0
"['f22', 30, -100, 100, 100, 300, 30000]",6.19,0.0
"['f22', 30, -100, 100, 200, 150, 30000]",5.79,0.0
"['f22', 50, -10, 10, 100, 250, 25000]",5.77,0.0
"['f22', 50, -10, 10, 100, 300, 30000]",6.91,0.0
"['f22', 50, -10, 10, 200, 150, 30000]",7.61,0.0
"['f22', 50, -100, 100, 100, 250, 25000]",6.43,0.0
"['f22', 50, -100, 100, 100, 300, 30000]",7.97,0.0
"['f22', 50, -100, 100, 200, 150, 30000]",7.65,0.0
"['f22', 100, -10, 10, 100, 250, 25000]",8.99,0.0
"['f22', 100, -10, 10, 100, 300, 30000]",10.44,0.0
"['f22', 100, -10, 10, 200, 150, 30000]",10.17,0.0
"['f22', 100, -100, 100, 100, 250, 25000]",9.21,0.0
"['f22', 100, -100, 100, 100, 300, 30000]",11.14,0.0
"['f22', 100, -100, 100, 200, 150, 30000]",11.35,0.0
